event_index,timestamp,source_type,host_id,process_name,pid,parent_process,event_type,operation,object,bytes_written,entropy_before,entropy_after,dst_ip,domain,label,family
17,2026-06-26T11:59:11,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_43.tmp,1033,3.9326708519717295,4.563053801651894,,,benign,benign
18,2026-06-26T11:59:13,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
19,2026-06-26T11:59:15,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.73,api.tracker.gg,benign,benign
20,2026-06-26T11:59:17,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_read,read,C:\Users\User\Documents\file_82.txt,0,4.6682208532815,3.3253081943121696,,,benign,benign
21,2026-06-26T11:59:19,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_14.tmp,2845,2.6674445551227834,4.441636469281235,,,benign,benign
22,2026-06-26T11:59:21,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
23,2026-06-26T11:59:23,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.138,github.com,benign,benign
24,2026-06-26T11:59:25,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_21.txt,0,3.9245204237022318,3.539895653568556,,,benign,benign
25,2026-06-26T11:59:27,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_15.tmp,2904,2.8107068360383045,4.0207839439809305,,,benign,benign
26,2026-06-26T11:59:29,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
27,2026-06-26T11:59:31,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.208,google.com,benign,benign
28,2026-06-26T11:59:33,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_52.txt,0,3.5354817519514055,3.421965687172653,,,benign,benign
29,2026-06-26T11:59:35,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_46.tmp,1388,2.5315663601353515,3.348078148730693,,,benign,benign
30,2026-06-26T11:59:37,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
31,2026-06-26T11:59:39,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,network_connection,connect,microsoft.com,0,0.0,0.0,192.168.1.37,microsoft.com,benign,benign
32,2026-06-26T11:59:41,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_96.txt,0,4.122736268326301,3.5254832170458705,,,benign,benign
33,2026-06-26T11:59:43,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_28.tmp,3777,3.4588323123641405,3.0049911092840276,,,benign,benign
34,2026-06-26T11:59:45,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
35,2026-06-26T11:59:47,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.25,api.tracker.gg,benign,benign
36,2026-06-26T11:59:49,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_15.txt,0,3.3056826386965223,3.3199640034449005,,,benign,benign
37,2026-06-26T11:59:51,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_39.tmp,360,2.96191827918625,3.58972107090282,,,benign,benign
38,2026-06-26T11:59:53,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
39,2026-06-26T11:59:55,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,microsoft.com,0,0.0,0.0,192.168.1.250,microsoft.com,benign,benign
40,2026-06-26T11:59:57,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_2.txt,0,4.3605668205130375,3.2291034859673733,,,benign,benign
41,2026-06-26T11:59:59,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_49.tmp,1192,3.9214968316436147,2.950438682577613,,,benign,benign
42,2026-06-26T12:00:01,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
43,2026-06-26T12:00:03,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.118,github.com,benign,benign
44,2026-06-26T12:00:05,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_93.txt,0,4.751705880756388,3.5267781015021815,,,benign,benign
45,2026-06-26T12:00:07,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_49.tmp,831,3.2692041865108132,2.3660270569942625,,,benign,benign
46,2026-06-26T12:00:09,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
47,2026-06-26T12:00:11,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.41,github.com,benign,benign
48,2026-06-26T12:00:13,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_98.txt,0,3.3230980715063065,4.906999495307005,,,benign,benign
49,2026-06-26T12:00:15,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_1.tmp,2553,2.810390142511683,2.148691855964581,,,benign,benign
50,2026-06-26T12:00:17,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
51,2026-06-26T12:00:19,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.16,github.com,benign,benign
52,2026-06-26T12:00:21,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_73.txt,0,4.893898890595988,3.1713069041357578,,,benign,benign
53,2026-06-26T12:00:23,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_5.tmp,3215,3.3317654238237893,2.4144012788011033,,,benign,benign
54,2026-06-26T12:00:25,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
55,2026-06-26T12:00:27,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.69,github.com,benign,benign
56,2026-06-26T12:00:29,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_78.txt,0,3.846275880401774,3.423596410884164,,,benign,benign
57,2026-06-26T12:00:31,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_49.tmp,3089,3.7246690802490536,3.8823724320478044,,,benign,benign
58,2026-06-26T12:00:33,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
59,2026-06-26T12:00:35,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.232,api.tracker.gg,benign,benign
60,2026-06-26T12:00:37,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_58.txt,0,3.2420083917365314,3.4493946740631145,,,benign,benign
61,2026-06-26T12:00:39,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_2.tmp,2509,3.3848038060611993,3.571100286025877,,,benign,benign
62,2026-06-26T12:00:41,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
63,2026-06-26T12:00:43,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.60,google.com,benign,benign
64,2026-06-26T12:00:45,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_5.txt,0,4.719270800507493,3.1417146997773067,,,benign,benign
65,2026-06-26T12:00:47,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_18.tmp,2840,3.2135362478762266,3.4480848284868864,,,benign,benign
66,2026-06-26T12:00:49,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,registry_set,set,HKCU\Software\Valorant_Tracker\Settings,0,0.0,0.0,,,benign,benign
67,2026-06-26T12:00:51,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.64,api.tracker.gg,benign,benign
68,2026-06-26T12:00:53,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_read,read,C:\Users\User\Documents\file_53.txt,0,3.380819828723755,3.193861628457647,,,benign,benign
69,2026-06-26T12:00:55,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_23.tmp,1834,3.027755690124345,4.259591870924008,,,benign,benign
70,2026-06-26T12:00:57,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
71,2026-06-26T12:00:59,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.105,google.com,benign,benign
72,2026-06-26T12:01:01,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_14.txt,0,3.4973126678405713,3.3804178168816232,,,benign,benign
73,2026-06-26T12:01:03,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_9.tmp,1828,2.458720089468083,3.2565701710024184,,,benign,benign
74,2026-06-26T12:01:05,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
75,2026-06-26T12:01:07,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.14,google.com,benign,benign
76,2026-06-26T12:01:09,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_2.txt,0,4.937992514569503,4.852733966016255,,,benign,benign
77,2026-06-26T12:01:11,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_11.tmp,1764,3.214102813626796,2.634368247997954,,,benign,benign
78,2026-06-26T12:01:13,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
79,2026-06-26T12:01:15,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.99,github.com,benign,benign
80,2026-06-26T12:01:17,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_50.txt,0,3.530406116344304,4.568141203897139,,,benign,benign
81,2026-06-26T12:01:19,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_19.tmp,1832,3.7414787590004064,3.926263293538665,,,benign,benign
82,2026-06-26T12:01:21,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,registry_set,set,HKCU\Software\Valorant_Tracker\Settings,0,0.0,0.0,,,benign,benign
83,2026-06-26T12:01:23,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.50,github.com,benign,benign
84,2026-06-26T12:01:25,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_28.txt,0,4.937418729938318,4.158360581632513,,,benign,benign
85,2026-06-26T12:01:27,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_4.tmp,3163,2.784012024424323,2.225355843159884,,,benign,benign
86,2026-06-26T12:01:29,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
87,2026-06-26T12:01:31,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.16,github.com,benign,benign
88,2026-06-26T12:01:33,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_11.txt,0,4.702685090688243,3.1370426654075847,,,benign,benign
89,2026-06-26T12:01:35,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_44.tmp,3630,2.588009737502328,2.3997165348678107,,,benign,benign
90,2026-06-26T12:01:37,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,registry_set,set,HKCU\Software\Valorant_Tracker\Settings,0,0.0,0.0,,,benign,benign
91,2026-06-26T12:01:39,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.160,google.com,benign,benign
92,2026-06-26T12:01:41,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_54.txt,0,4.314746328945045,4.1304538476881785,,,benign,benign
93,2026-06-26T12:01:43,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_17.tmp,936,3.674314936924573,2.88545965698894,,,benign,benign
94,2026-06-26T12:01:45,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
95,2026-06-26T12:01:47,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.173,github.com,benign,benign
96,2026-06-26T12:01:49,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_59.txt,0,3.632354392543708,4.503728984828804,,,benign,benign
97,2026-06-26T12:01:51,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_1.tmp,1977,3.552898138732732,3.507484114097365,,,benign,benign
98,2026-06-26T12:01:53,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
99,2026-06-26T12:01:55,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.131,github.com,benign,benign
100,2026-06-26T12:01:57,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_17.txt,0,4.866518755987418,4.761728347372879,,,benign,benign
101,2026-06-26T12:01:59,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_24.tmp,1267,2.3943670808930797,4.184362386599517,,,benign,benign
102,2026-06-26T12:02:01,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
103,2026-06-26T12:02:03,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.172,google.com,benign,benign
104,2026-06-26T12:02:05,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_39.txt,0,4.863512078872155,3.207173003836423,,,benign,benign
105,2026-06-26T12:02:07,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_17.tmp,572,4.224281767514273,3.9560417099524967,,,benign,benign
106,2026-06-26T12:02:09,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
107,2026-06-26T12:02:11,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,network_connection,connect,microsoft.com,0,0.0,0.0,192.168.1.156,microsoft.com,benign,benign
108,2026-06-26T12:02:13,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_92.txt,0,3.6857605755865173,4.374994257602661,,,benign,benign
109,2026-06-26T12:02:15,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_33.tmp,2101,2.627803130174735,4.3703976155464295,,,benign,benign
110,2026-06-26T12:02:17,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
111,2026-06-26T12:02:19,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.214,api.tracker.gg,benign,benign
112,2026-06-26T12:02:21,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_6.txt,0,3.0070913781755646,4.542238446039255,,,benign,benign
113,2026-06-26T12:02:23,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_11.tmp,3136,3.1045887796521265,3.8641686168999767,,,benign,benign
114,2026-06-26T12:02:25,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,registry_set,set,HKCU\Software\Valorant_Tracker\Settings,0,0.0,0.0,,,benign,benign
115,2026-06-26T12:02:27,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.21,google.com,benign,benign
116,2026-06-26T12:02:29,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_70.txt,0,3.0720562761216614,3.7384319690243837,,,benign,benign
117,2026-06-26T12:02:31,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_10.tmp,1860,2.3186137982053467,2.870645874825334,,,benign,benign
118,2026-06-26T12:02:33,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
119,2026-06-26T12:02:35,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.176,github.com,benign,benign
120,2026-06-26T12:02:37,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_86.txt,0,3.2055872433435715,4.560232483742885,,,benign,benign
121,2026-06-26T12:02:39,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_40.tmp,3169,2.3863833458305117,4.424702539234186,,,benign,benign
122,2026-06-26T12:02:41,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
123,2026-06-26T12:02:43,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.8,api.tracker.gg,benign,benign
124,2026-06-26T12:02:45,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_read,read,C:\Users\User\Documents\file_95.txt,0,4.848974590483091,4.564772992295263,,,benign,benign
125,2026-06-26T12:02:47,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_43.tmp,3639,3.83764384706969,2.7204181027935017,,,benign,benign
126,2026-06-26T12:02:49,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
127,2026-06-26T12:02:51,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.225,api.tracker.gg,benign,benign
128,2026-06-26T12:02:53,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_61.txt,0,3.4448674350913286,4.633173211193858,,,benign,benign
129,2026-06-26T12:02:55,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_23.tmp,1350,4.051340952428905,4.27830758965752,,,benign,benign
130,2026-06-26T12:02:57,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,registry_set,set,HKCU\Software\code\Settings,0,0.0,0.0,,,benign,benign
131,2026-06-26T12:02:59,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,github.com,0,0.0,0.0,192.168.1.104,github.com,benign,benign
132,2026-06-26T12:03:01,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_36.txt,0,4.728705884060573,4.933778208096722,,,benign,benign
133,2026-06-26T12:03:03,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_23.tmp,2727,3.2735141888200934,3.798795295900659,,,benign,benign
134,2026-06-26T12:03:05,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,registry_set,set,HKCU\Software\Valorant_Tracker\Settings,0,0.0,0.0,,,benign,benign
135,2026-06-26T12:03:07,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.31,google.com,benign,benign
136,2026-06-26T12:03:09,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_23.txt,0,4.161179467477416,4.967101145766174,,,benign,benign
137,2026-06-26T12:03:11,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_7.tmp,2543,3.086409396411611,3.9213626516317603,,,benign,benign
138,2026-06-26T12:03:13,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
139,2026-06-26T12:03:15,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.100,google.com,benign,benign
140,2026-06-26T12:03:17,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_25.txt,0,3.5094450122771637,4.417570567668341,,,benign,benign
141,2026-06-26T12:03:19,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_34.tmp,3891,4.016277174250259,3.8171428672863166,,,benign,benign
